"family","group","ung_inf","in_tree"
"Pleioplanidae","Platyhelminthes",FALSE,TRUE
"Stylochoplanidae","Platyhelminthes",FALSE,TRUE
"Opisthogeniidae","Platyhelminthes",FALSE,TRUE
"Pericelidae","Platyhelminthes",FALSE,TRUE
"Prosthiostomidae","Platyhelminthes",FALSE,TRUE
"Anonymidae","Platyhelminthes",FALSE,TRUE
"Euryleptididae","Platyhelminthes",FALSE,TRUE
"Laidlawiidae","Platyhelminthes",FALSE,TRUE
"Pseudocerotidae","Platyhelminthes",FALSE,TRUE
"Stylochoididae","Platyhelminthes",FALSE,TRUE
"Callioplanidae","Platyhelminthes",FALSE,TRUE
"Discoprosthididae","Platyhelminthes",FALSE,TRUE
"Planoceridae","Platyhelminthes",FALSE,TRUE
"Pseudostylochidae","Platyhelminthes",FALSE,TRUE
"Stylochidae","Platyhelminthes",FALSE,TRUE
"Scutariellidae","Platyhelminthes",FALSE,TRUE
"Actinodactylellidae","Platyhelminthes",FALSE,TRUE
"Diceratocephalidae","Platyhelminthes",FALSE,FALSE
"Temnocephalidae","Platyhelminthes",FALSE,TRUE
"Acanthocolpidae","Platyhelminthes",FALSE,TRUE
"Allocreadiidae","Platyhelminthes",FALSE,TRUE
"Brachycladiidae","Platyhelminthes",FALSE,TRUE
"Opecoelidae","Platyhelminthes",FALSE,TRUE
"Apocreadiidae","Platyhelminthes",FALSE,TRUE
"Aspidogastridae","Platyhelminthes",FALSE,TRUE
"Multicalycidae","Platyhelminthes",FALSE,TRUE
"Rugogastridae","Platyhelminthes",FALSE,TRUE
"Azygiidae","Platyhelminthes",FALSE,TRUE
"Bivesiculidae","Platyhelminthes",FALSE,TRUE
"Brachylaimidae","Platyhelminthes",FALSE,TRUE
"Leucochloridiidae","Platyhelminthes",FALSE,TRUE
"Bucephalidae","Platyhelminthes",FALSE,TRUE
"Brauninidae","Platyhelminthes",FALSE,TRUE
"Cyathocotylidae","Platyhelminthes",FALSE,TRUE
"Diplostomidae","Platyhelminthes",FALSE,FALSE
"Proterodiplostomidae","Platyhelminthes",FALSE,FALSE
"Strigeidae","Platyhelminthes",FALSE,TRUE
"Calycodidae","Platyhelminthes",FALSE,TRUE
"Cyclocoelidae","Platyhelminthes",FALSE,TRUE
"Echinochasmidae","Platyhelminthes",FALSE,TRUE
"Eucotylidae","Platyhelminthes",FALSE,TRUE
"Himasthlidae","Platyhelminthes",FALSE,TRUE
"Philophthalmidae","Platyhelminthes",FALSE,TRUE
"Psilostomidae","Platyhelminthes",FALSE,TRUE
"Rhytidodidae","Platyhelminthes",FALSE,TRUE
"Typhlocoelidae","Platyhelminthes",FALSE,FALSE
"Callodistomidae","Platyhelminthes",FALSE,TRUE
"Gorgoderidae","Platyhelminthes",FALSE,TRUE
"Botulisaccidae","Platyhelminthes",FALSE,TRUE
"Fellodistomidae","Platyhelminthes",FALSE,TRUE
"Gymnophallidae","Platyhelminthes",FALSE,TRUE
"Tandanicolidae","Platyhelminthes",FALSE,TRUE
"Atractotrematidae","Platyhelminthes",FALSE,TRUE
"Haploporidae","Platyhelminthes",FALSE,TRUE
"Haplosplanchnidae","Platyhelminthes",FALSE,TRUE
"Accacoeliidae","Platyhelminthes",FALSE,TRUE
"Bathycotylidae","Platyhelminthes",FALSE,FALSE
"Derogenidae","Platyhelminthes",FALSE,TRUE
"Dictysarcidae","Platyhelminthes",FALSE,TRUE
"Didymozoidae","Platyhelminthes",FALSE,TRUE
"Gonocercidae","Platyhelminthes",FALSE,FALSE
"Hemiuridae","Platyhelminthes",FALSE,TRUE
"Hirudinellidae","Platyhelminthes",FALSE,TRUE
"Isoparorchiidae","Platyhelminthes",FALSE,TRUE
"Lecithasteridae","Platyhelminthes",FALSE,TRUE
"Ptychogonimidae","Platyhelminthes",FALSE,TRUE
"Sclerodistomidae","Platyhelminthes",FALSE,TRUE
"Sclerodistomoididae","Platyhelminthes",FALSE,TRUE
"Syncoeliidae","Platyhelminthes",FALSE,TRUE
"Aephnidiogenidae","Platyhelminthes",FALSE,TRUE
"Deropristidae","Platyhelminthes",FALSE,TRUE
"Enenteridae","Platyhelminthes",FALSE,TRUE
"Gibsonivermidae","Platyhelminthes",FALSE,FALSE
"Gorgocephalidae","Platyhelminthes",FALSE,TRUE
"Gyliauchenidae","Platyhelminthes",FALSE,TRUE
"Lepidapedidae","Platyhelminthes",FALSE,TRUE
"Lepocreadiidae","Platyhelminthes",FALSE,TRUE
"Liliatrematidae","Platyhelminthes",FALSE,TRUE
"Diplangidae","Platyhelminthes",FALSE,TRUE
"Exotidendriidae","Platyhelminthes",FALSE,TRUE
"Faustulidae","Platyhelminthes",FALSE,TRUE
"Microphallidae","Platyhelminthes",FALSE,TRUE
"Pachypsolidae","Platyhelminthes",FALSE,TRUE
"Prosthogonimidae","Platyhelminthes",FALSE,TRUE
"Renicolidae","Platyhelminthes",FALSE,TRUE
"Zoogonidae","Platyhelminthes",FALSE,TRUE
"Lissorchiidae","Platyhelminthes",FALSE,TRUE
"Monorchiidae","Platyhelminthes",FALSE,TRUE
"Cryptogonimidae","Platyhelminthes",FALSE,TRUE
"Mesometridae","Platyhelminthes",FALSE,TRUE
"Microscaphidiidae","Platyhelminthes",FALSE,FALSE
"Brachycoeliidae","Platyhelminthes",FALSE,TRUE
"Cephalogonimidae","Platyhelminthes",FALSE,TRUE
"Macroderoididae","Platyhelminthes",FALSE,TRUE
"Meristocotylidae","Platyhelminthes",FALSE,TRUE
"Orientocreadiidae","Platyhelminthes",FALSE,TRUE
"Plagiorchiidae","Platyhelminthes",FALSE,TRUE
"Styphlotrematidae","Platyhelminthes",FALSE,TRUE
"Telorchiidae","Platyhelminthes",FALSE,TRUE
"Labicolidae","Platyhelminthes",FALSE,TRUE
"Nudacotylidae","Platyhelminthes",FALSE,TRUE
"Opisthotrematidae","Platyhelminthes",FALSE,TRUE
"Pronocephalidae","Platyhelminthes",FALSE,TRUE
"Rhabdiopoeidae","Platyhelminthes",FALSE,TRUE
"Aporocotylidae","Platyhelminthes",FALSE,TRUE
"Clinostomidae","Platyhelminthes",FALSE,TRUE
"Spirorchiidae","Platyhelminthes",FALSE,TRUE
"Transversotrematidae","Platyhelminthes",FALSE,TRUE
"Bdellouridae","Platyhelminthes",FALSE,TRUE
"Uteriporidae","Platyhelminthes",FALSE,TRUE
"Centrovarioplanidae","Platyhelminthes",FALSE,TRUE
"Cercyridae","Platyhelminthes",FALSE,TRUE
"Meixnerididae","Platyhelminthes",FALSE,TRUE
"Dugesiidae","Platyhelminthes",FALSE,TRUE
"Geoplanidae","Platyhelminthes",FALSE,TRUE
"Dendrocoelidae","Platyhelminthes",FALSE,TRUE
"Kenkiidae","Platyhelminthes",FALSE,FALSE
"Planariidae","Platyhelminthes",FALSE,TRUE
"Procerodidae","Platyhelminthes",FALSE,TRUE
"Gekkonotrematidae","Platyhelminthes",FALSE,TRUE
"Jubilariidae","Platyhelminthes",FALSE,TRUE
"Echinoporidae","Platyhelminthes",FALSE,TRUE
"Mesotretidae","Platyhelminthes",FALSE,FALSE
"Acanthocollaritrematidae","Platyhelminthes",FALSE,FALSE
"Balanotaeniidae","Platyhelminthes",FALSE,TRUE
"Lytocestidae","Platyhelminthes",FALSE,TRUE
"Dioicocestidae","Platyhelminthes",FALSE,FALSE
"Dipylidiidae","Platyhelminthes",FALSE,TRUE
"Metadilepididae","Platyhelminthes",FALSE,TRUE
"Paruterinidae","Platyhelminthes",FALSE,TRUE
"Cephalobothiidae","Platyhelminthes",FALSE,FALSE
"Dactylocotylidae","Platyhelminthes",FALSE,FALSE
"Megalonchidae","Platyhelminthes",FALSE,TRUE
"Sphyranuridae","Platyhelminthes",FALSE,TRUE
"Aviellidae","Platyhelminthes",FALSE,TRUE
"Allomicrocotylidae","Platyhelminthes",FALSE,FALSE
"Aspidogasteridae","Platyhelminthes",FALSE,FALSE
"Diplostomatidae","Platyhelminthes",FALSE,TRUE
"Protrodiplostomatidae","Platyhelminthes",FALSE,TRUE
"Bolbocephalodidae","Platyhelminthes",FALSE,TRUE
"Clinostomatidae","Platyhelminthes",FALSE,FALSE
"Sanguinicolidae","Platyhelminthes",FALSE,FALSE
"Ophiodiplostomatidae","Platyhelminthes",FALSE,FALSE
"Neostrigeidae","Platyhelminthes",FALSE,FALSE
"Mesocestoididae","Platyhelminthes",FALSE,TRUE
"Nematotaeniidae","Platyhelminthes",FALSE,TRUE
"Catenotaeniidae","Platyhelminthes",FALSE,TRUE
"Anoplocephalidae","Platyhelminthes",FALSE,TRUE
"Diplopharyngeatidae","Platyhelminthes",FALSE,FALSE
"Fellodistomatidae","Platyhelminthes",FALSE,FALSE
"Harmotrematidae","Platyhelminthes",FALSE,TRUE
"Leucochloridiomorphidae","Platyhelminthes",FALSE,TRUE
"Urotrematidae","Platyhelminthes",FALSE,TRUE
"Monascidae","Platyhelminthes",FALSE,FALSE
"Liolopidae","Platyhelminthes",FALSE,TRUE
"Moreauiidae","Platyhelminthes",FALSE,FALSE
"Ovariopteridae","Platyhelminthes",FALSE,TRUE
"Thapariellidae","Platyhelminthes",FALSE,TRUE
"Monodhelminthidae","Platyhelminthes",FALSE,FALSE
"Ratziidae","Platyhelminthes",FALSE,FALSE
"Dinuridae","Platyhelminthes",FALSE,FALSE
"Lecithochiridae","Platyhelminthes",FALSE,FALSE
"Aphanhysteridae","Platyhelminthes",FALSE,FALSE
"Bothrigastridae","Platyhelminthes",FALSE,FALSE
"Lampritrematidae","Platyhelminthes",FALSE,FALSE
"Albulatrematidae","Platyhelminthes",FALSE,FALSE
"Halipegidae","Platyhelminthes",FALSE,FALSE
"Mabiaramidae","Platyhelminthes",FALSE,FALSE
"Prosogonotrematidae","Platyhelminthes",FALSE,FALSE
"Oesophagicolidae","Platyhelminthes",FALSE,TRUE
"Arnolidae","Platyhelminthes",FALSE,FALSE
"Lobatovitelliovariidae","Platyhelminthes",FALSE,FALSE
"Areobiotrematidae","Platyhelminthes",FALSE,TRUE
"Tetrasteridae","Platyhelminthes",FALSE,FALSE
"Pelorohelminthidae","Platyhelminthes",FALSE,FALSE
"Cylindrorchiidae","Platyhelminthes",FALSE,TRUE
"Psilostomatidae","Platyhelminthes",FALSE,FALSE
"Cathaemasiidae","Platyhelminthes",FALSE,FALSE
"Rhopaliidae","Platyhelminthes",FALSE,FALSE
"Megaperidae","Platyhelminthes",FALSE,FALSE
"Orchipedidae","Platyhelminthes",FALSE,TRUE
"Botulidae","Platyhelminthes",FALSE,FALSE
"Saakotrematidae","Platyhelminthes",FALSE,FALSE
"Balfouriidae","Platyhelminthes",FALSE,FALSE
"Ommatobrephidae","Platyhelminthes",FALSE,FALSE
"Achillurbaniidae","Platyhelminthes",FALSE,FALSE
"Campululidae","Platyhelminthes",FALSE,TRUE
"Rowpaliidae","Platyhelminthes",FALSE,FALSE
"Diplodiscidae","Platyhelminthes",FALSE,TRUE
"Rhabdopoeidae","Platyhelminthes",FALSE,FALSE
"Paramphistomatidae","Platyhelminthes",FALSE,TRUE
"Heronimidae","Platyhelminthes",FALSE,TRUE
"Brumptidae","Platyhelminthes",FALSE,TRUE
"Haematoloechidae","Platyhelminthes",FALSE,TRUE
"Mesocoeliidae","Platyhelminthes",FALSE,FALSE
"Auridistomidae","Platyhelminthes",FALSE,TRUE
"Cephaloporidae","Platyhelminthes",FALSE,FALSE
"Ochetosomatidae","Platyhelminthes",FALSE,FALSE
"Lecithodendriidae","Platyhelminthes",FALSE,TRUE
"Allassogonoporidae","Platyhelminthes",FALSE,FALSE
"Stomylotrematidae","Platyhelminthes",FALSE,TRUE
"Laterotrematidae","Platyhelminthes",FALSE,TRUE
"Omphalometridae","Platyhelminthes",FALSE,TRUE
"Encyclometridae","Platyhelminthes",FALSE,TRUE
"Opisthogonimidae","Platyhelminthes",FALSE,TRUE
"Dolichoperidae","Platyhelminthes",FALSE,FALSE
"Macroderidae","Platyhelminthes",FALSE,FALSE
"Eumegacetidae","Platyhelminthes",FALSE,FALSE
"Pleurogenidae","Platyhelminthes",FALSE,TRUE
"Anenterotrematidae","Platyhelminthes",FALSE,TRUE
"Cortrematidae","Platyhelminthes",FALSE,TRUE
"Anchitrematidae","Platyhelminthes",FALSE,FALSE
"Octotestidae","Platyhelminthes",FALSE,FALSE
"Steganodermatidae","Platyhelminthes",FALSE,FALSE
"Troglotrematidae","Platyhelminthes",FALSE,TRUE
"Nanophyetidae","Platyhelminthes",FALSE,TRUE
"Collyriclidae","Platyhelminthes",FALSE,TRUE
"Homalometridae","Platyhelminthes",FALSE,FALSE
"Deropristiidae","Platyhelminthes",FALSE,FALSE
"Pleorchiidae","Platyhelminthes",FALSE,FALSE
"Batrachotrematidae","Platyhelminthes",FALSE,TRUE
"Maseniidae","Platyhelminthes",FALSE,FALSE
"Opistholebetidae","Platyhelminthes",FALSE,TRUE
"Callodistomatidae","Platyhelminthes",FALSE,FALSE
"Encotylidae","Platyhelminthes",FALSE,FALSE
"Haplometridae","Platyhelminthes",FALSE,FALSE
"Eurotrematidae","Platyhelminthes",FALSE,FALSE
"Nasitrematidae","Platyhelminthes",FALSE,FALSE
"Acanthostomatidae","Platyhelminthes",FALSE,FALSE
"Pachytrematidae","Platyhelminthes",FALSE,TRUE
"Campulidae","Platyhelminthes",FALSE,FALSE
"Ulianiniidae","Platyhelminthes",FALSE,FALSE
"Grillotiidae","Platyhelminthes",FALSE,FALSE
"Cylindrostomidae","Platyhelminthes",FALSE,FALSE
"Dasyrhynchidae","Platyhelminthes",FALSE,TRUE
"Hornelliellidae","Platyhelminthes",FALSE,TRUE
