"family","group","ung_inf","in_tree"
"Longidoridae","Nematoda",FALSE,TRUE
"Mononchidae","Nematoda",FALSE,TRUE
"Mononchulidae","Nematoda",FALSE,TRUE
"Nygolaimellidae","Nematoda",FALSE,TRUE
"Nygolaimidae","Nematoda",FALSE,TRUE
"Opailaimidae","Nematoda",FALSE,TRUE
"Oxydiridae","Nematoda",FALSE,FALSE
"Qudsianematidae","Nematoda",FALSE,TRUE
"Trachypleurosidae","Nematoda",FALSE,TRUE
"Tylencholaimellidae","Nematoda",FALSE,TRUE
"Tylencholaimidae","Nematoda",FALSE,TRUE
"Anoplostomatidae","Nematoda",FALSE,TRUE
"Anticomidae","Nematoda",FALSE,TRUE
"Cryptonchidae","Nematoda",FALSE,TRUE
"Enchelidiidae","Nematoda",FALSE,TRUE
"Enoplidae","Nematoda",FALSE,TRUE
"Eurystominidae","Nematoda",FALSE,FALSE
"Ironidae","Nematoda",FALSE,TRUE
"Lauratonematidae","Nematoda",FALSE,TRUE
"Leptosomatidae","Nematoda",FALSE,TRUE
"Oncholaimidae","Nematoda",FALSE,TRUE
"Onchulidae","Nematoda",FALSE,FALSE
"Oxystominidae","Nematoda",FALSE,TRUE
"Phanodermatidae","Nematoda",FALSE,TRUE
"Prismatolaimidae","Nematoda",FALSE,TRUE
"Rhabdodemaniidae","Nematoda",FALSE,TRUE
"Symplocostomatidae","Nematoda",FALSE,FALSE
"Thoracostomopsidae","Nematoda",FALSE,TRUE
"Trefusiidae","Nematoda",FALSE,TRUE
"Triodontolaimidae","Nematoda",FALSE,FALSE
"Tripylidae","Nematoda",FALSE,TRUE
"Mermithidae","Nematoda",FALSE,TRUE
"Aponchiidae","Nematoda",FALSE,FALSE
"Linhomoeidae","Nematoda",FALSE,TRUE
"Monhysteridae","Nematoda",FALSE,TRUE
"Scaptrellidae","Nematoda",FALSE,FALSE
"Siphonolaimidae","Nematoda",FALSE,TRUE
"Sphaerolaimidae","Nematoda",FALSE,TRUE
"Xyalidae","Nematoda",FALSE,TRUE
"Not assigned","Platyhelminthes",FALSE,FALSE
"Cystoopsidae","Nematoda",FALSE,TRUE
"Diphtherophoridae","Nematoda",FALSE,TRUE
"Trichodoridae","Nematoda",FALSE,TRUE
"Aphelenchidae","Nematoda",FALSE,TRUE
"Aphelenchoididae","Nematoda",FALSE,TRUE
"Paraphelenchidae","Nematoda",FALSE,FALSE
"Anisakidae","Nematoda",FALSE,TRUE
"Ascaridiidae","Nematoda",FALSE,TRUE
"Cosmocercidae","Nematoda",FALSE,TRUE
"Cucullanidae","Nematoda",FALSE,TRUE
"Heterakidae","Nematoda",FALSE,TRUE
"Maupasinidae","Nematoda",FALSE,FALSE
"Toxocaridae","Nematoda",FALSE,TRUE
"Cylindrocorporidae","Nematoda",FALSE,TRUE
"Diplogasteridae","Nematoda",FALSE,TRUE
"Diplogasteroididae","Nematoda",FALSE,TRUE
"Neodiplogasteridae","Nematoda",FALSE,TRUE
"Odontopharyngidae","Nematoda",FALSE,FALSE
"Pharyngodonidae","Nematoda",FALSE,TRUE
"Rhigonematidae","Nematoda",FALSE,TRUE
"Thelastomatidae","Nematoda",FALSE,TRUE
"Agfidae","Nematoda",FALSE,TRUE
"Alirhabditidae","Nematoda",FALSE,TRUE
"Alloionematidae","Nematoda",FALSE,TRUE
"Brevibuccidae","Nematoda",FALSE,TRUE
"Bunonematidae","Nematoda",FALSE,TRUE
"Cephalobidae","Nematoda",FALSE,TRUE
"Elaphonematidae","Nematoda",FALSE,TRUE
"Heterohabditidae","Nematoda",FALSE,TRUE
"Heterorhabditidae","Nematoda",FALSE,TRUE
"Odontorhabditidae","Nematoda",FALSE,FALSE
"Panagrolaimidae","Nematoda",FALSE,TRUE
"Pangrolaimidae","Nematoda",FALSE,FALSE
"Pterygorhabditidae","Nematoda",FALSE,FALSE
"Rhabdiasidae","Nematoda",FALSE,TRUE
"Rhabditidae","Nematoda",FALSE,FALSE
"Robertiidae","Nematoda",FALSE,FALSE
"Steinernematidae","Nematoda",FALSE,TRUE
"Syrphonematidae","Nematoda",FALSE,TRUE
"Acuariidae","Nematoda",FALSE,TRUE
"Anguillicolidae","Nematoda",FALSE,TRUE
"Cystidicolidae","Nematoda",FALSE,TRUE
"Drilonematidae","Nematoda",FALSE,TRUE
"Physalopteridae","Nematoda",FALSE,TRUE
"Spiruridae","Nematoda",FALSE,TRUE
"Amidostomatidae","Nematoda",FALSE,TRUE
"Angiostrongylidae","Nematoda",FALSE,TRUE
"Cloacinidae","Nematoda",FALSE,TRUE
"Crenosomatidae","Nematoda",FALSE,TRUE
"Filaroididae","Nematoda",FALSE,TRUE
"Heligosomidae","Nematoda",FALSE,FALSE
"Herpetostrongylidae","Nematoda",FALSE,TRUE
"Ornithostrongylidae","Nematoda",FALSE,FALSE
"Pharyngostrongylidae","Nematoda",FALSE,FALSE
"Pseudaliidae","Nematoda",FALSE,TRUE
"Skrjabingylidae","Nematoda",FALSE,FALSE
"Uncinariidae","Nematoda",FALSE,FALSE
"Allantonematidae","Nematoda",FALSE,TRUE
"Anguinidae","Nematoda",FALSE,TRUE
"Belonolaimidae","Nematoda",FALSE,TRUE
"Criconematidae","Nematoda",FALSE,TRUE
"Dolichodoridae","Nematoda",FALSE,TRUE
"Fergusobiidae","Nematoda",FALSE,FALSE
"Heteroderidae","Nematoda",FALSE,TRUE
"Hoplolaimidae","Nematoda",FALSE,TRUE
"Iotonchiidae","Nematoda",FALSE,TRUE
"Neotylenchidae","Nematoda",FALSE,TRUE
"Pratylenchidae","Nematoda",FALSE,FALSE
"Sphaerulariidae","Nematoda",FALSE,TRUE
"Tylenchidae","Nematoda",FALSE,TRUE
"Tylenchulidae","Nematoda",FALSE,TRUE
"Camallanidae","Nematoda",FALSE,TRUE
"Philometridae","Nematoda",FALSE,TRUE
"Setariidae","Nematoda",FALSE,TRUE
"Psilenchidae","Nematoda",FALSE,FALSE
"Tylenchorhynchidae","Nematoda",FALSE,FALSE
"Bathyodontidae","Nematoda",FALSE,TRUE
"Tetradonematidae","Nematoda",FALSE,TRUE
"Muspiceidae","Nematoda",FALSE,TRUE
"Phlyctainophoridae","Nematoda",FALSE,FALSE
"Angiostomatidae","Nematoda",FALSE,TRUE
"Chambersiellidae","Nematoda",FALSE,TRUE
"Rhabditonematidae","Nematoda",FALSE,TRUE
"Carabonematidae","Nematoda",FALSE,FALSE
"Pseudogasteroididae","Nematoda",FALSE,FALSE
