family,group,ung_inf,otl_name,trans_route,in_tree,otl_name_red
Rhabdiasidae,Nematoda,FALSE,Rhabdiasidae,not ungulate parasites,TRUE,Rhabdiasidae
Rhabditidae,Nematoda,FALSE,Rhabditidae,not ungulate parasites,FALSE,Rhabditidae
Robertiidae,Nematoda,FALSE,Robertiidae_(family_in_Protostomia),not ungulate parasites,TRUE,Robertiidae
Steinernematidae,Nematoda,FALSE,Steinernematidae,not ungulate parasites,TRUE,Steinernematidae
Syrphonematidae,Nematoda,FALSE,Syrphonematidae,not ungulate parasites,TRUE,Syrphonematidae
Acuariidae,Nematoda,FALSE,Acuariidae,not ungulate parasites,TRUE,Acuariidae
Anguillicolidae,Nematoda,FALSE,Anguillicolidae,not ungulate parasites,TRUE,Anguillicolidae
Cystidicolidae,Nematoda,FALSE,Cystidicolidae,not ungulate parasites,TRUE,Cystidicolidae
Drilonematidae,Nematoda,FALSE,Drilonematidae,not ungulate parasites,TRUE,Drilonematidae
Physalopteridae,Nematoda,FALSE,Physalopteridae,not ungulate parasites,TRUE,Physalopteridae
Spiruridae,Nematoda,FALSE,Spiruridae,not ungulate parasites,TRUE,Spiruridae
Amidostomatidae,Nematoda,FALSE,Amidostomatidae,not ungulate parasites,TRUE,Amidostomatidae
Angiostrongylidae,Nematoda,FALSE,Angiostrongylidae,not ungulate parasites,TRUE,Angiostrongylidae
Cloacinidae,Nematoda,FALSE,Cloacinidae,not ungulate parasites,TRUE,Cloacinidae
Crenosomatidae,Nematoda,FALSE,Crenosomatidae,not ungulate parasites,TRUE,Crenosomatidae
Filaroididae,Nematoda,FALSE,Filaroididae,not ungulate parasites,TRUE,Filaroididae
Heligosomidae,Nematoda,FALSE,Heligosomidae,not ungulate parasites,FALSE,Heligosomidae
Herpetostrongylidae,Nematoda,FALSE,Herpetostrongylidae,not ungulate parasites,TRUE,Herpetostrongylidae
Ornithostrongylidae,Nematoda,FALSE,Ornithostrongylidae,not ungulate parasites,FALSE,Ornithostrongylidae
Pharyngostrongylidae,Nematoda,FALSE,Pharyngostrongylidae,not ungulate parasites,FALSE,Pharyngostrongylidae
Pseudaliidae,Nematoda,FALSE,Pseudaliidae,not ungulate parasites,TRUE,Pseudaliidae
Skrjabingylidae,Nematoda,FALSE,Skrjabingylidae,not ungulate parasites,FALSE,Skrjabingylidae
Uncinariidae,Nematoda,FALSE,Uncinariidae_(merged_with_Bunostominae),not ungulate parasites,FALSE,Uncinariidae
Allantonematidae,Nematoda,FALSE,Allantonematidae,not ungulate parasites,TRUE,Allantonematidae
Anguinidae,Nematoda,FALSE,Anguinidae,not ungulate parasites,TRUE,Anguinidae
Belonolaimidae,Nematoda,FALSE,Belonolaimidae,not ungulate parasites,TRUE,Belonolaimidae
Criconematidae,Nematoda,FALSE,Criconematidae,not ungulate parasites,TRUE,Criconematidae
Dolichodoridae,Nematoda,FALSE,Dolichodoridae,not ungulate parasites,TRUE,Dolichodoridae
Fergusobiidae,Nematoda,FALSE,Fergusobiidae_(merged_with_Neotylenchidae),not ungulate parasites,FALSE,Fergusobiidae
Heteroderidae,Nematoda,FALSE,Heteroderidae,not ungulate parasites,TRUE,Heteroderidae
Hoplolaimidae,Nematoda,FALSE,Hoplolaimidae,not ungulate parasites,TRUE,Hoplolaimidae
Iotonchiidae,Nematoda,FALSE,Iotonchiidae,not ungulate parasites,TRUE,Iotonchiidae
Neotylenchidae,Nematoda,FALSE,Neotylenchidae,not ungulate parasites,TRUE,Neotylenchidae
Pratylenchidae,Nematoda,FALSE,Pratylenchidae,not ungulate parasites,FALSE,Pratylenchidae
Sphaerulariidae,Nematoda,FALSE,Sphaerulariidae,not ungulate parasites,TRUE,Sphaerulariidae
Tylenchidae,Nematoda,FALSE,Tylenchidae,not ungulate parasites,TRUE,Tylenchidae
Tylenchulidae,Nematoda,FALSE,Tylenchulidae,not ungulate parasites,TRUE,Tylenchulidae
Camallanidae,Nematoda,FALSE,Camallanidae,not ungulate parasites,TRUE,Camallanidae
Philometridae,Nematoda,FALSE,Philometridae,not ungulate parasites,TRUE,Philometridae
Setariidae,Nematoda,FALSE,Setariidae,not ungulate parasites,TRUE,Setariidae
Psilenchidae,Nematoda,FALSE,Psilenchidae,not ungulate parasites,FALSE,Psilenchidae
Tylenchorhynchidae,Nematoda,FALSE,Tylenchorhynchidae,not ungulate parasites,FALSE,Tylenchorhynchidae
Bathyodontidae,Nematoda,FALSE,Bathyodontidae,not ungulate parasites,TRUE,Bathyodontidae
Tetradonematidae,Nematoda,FALSE,Tetradonematidae,not ungulate parasites,TRUE,Tetradonematidae
Muspiceidae,Nematoda,FALSE,Muspiceidae,not ungulate parasites,TRUE,Muspiceidae
Phlyctainophoridae,Nematoda,FALSE,Phlyctainophoridae,not ungulate parasites,FALSE,Phlyctainophoridae
Angiostomatidae,Nematoda,FALSE,Angiostomatidae,not ungulate parasites,TRUE,Angiostomatidae
Chambersiellidae,Nematoda,FALSE,Chambersiellidae,not ungulate parasites,TRUE,Chambersiellidae
Rhabditonematidae,Nematoda,FALSE,Rhabditonematidae,not ungulate parasites,TRUE,Rhabditonematidae
Carabonematidae,Nematoda,FALSE,Carabonematidae,not ungulate parasites,FALSE,Carabonematidae
Pseudogasteroididae,Nematoda,FALSE,Pseudogasteroididae,not ungulate parasites,FALSE,Pseudogasteroididae
Daubayliidae,Nematoda,FALSE,Daubayliidae,not ungulate parasites,TRUE,Daubayliidae
Hedruridae,Nematoda,FALSE,Hedruridae,not ungulate parasites,TRUE,Hedruridae
Tetrameridae,Nematoda,FALSE,Tetrameridae,not ungulate parasites,TRUE,Tetrameridae
Heterocheilidae,Nematoda,FALSE,Heterocheilidae_(family_in_phylum_Nematoda),not ungulate parasites,TRUE,Heterocheilidae
Dioctophymatidae,Nematoda,FALSE,Dioctophymatidae,not ungulate parasites,FALSE,Dioctophymatidae
Atractidae,Nematoda,FALSE,Atractidae,not ungulate parasites,TRUE,Atractidae
Kathlanidae,Nematoda,FALSE,Kathlaniidae,not ungulate parasites,TRUE,Kathlaniidae
Acanthocheilidae,Nematoda,FALSE,Anisakidae,not ungulate parasites,TRUE,Anisakidae
Goeziidae,Nematoda,FALSE,Goeziidae,not ungulate parasites,FALSE,Goeziidae
Crossophoridae,Nematoda,FALSE,Crossophoridae,not ungulate parasites,TRUE,Crossophoridae
Subuluridae,Nematoda,FALSE,Subuluridae,not ungulate parasites,FALSE,Subuluridae
Seuratidae,Nematoda,FALSE,Seuratidae,not ungulate parasites,TRUE,Seuratidae
Schneidernematidae,Nematoda,FALSE,Schneidernematidae,not ungulate parasites,TRUE,Schneidernematidae
Quimperiidae,Nematoda,FALSE,Quimperiidae,not ungulate parasites,TRUE,Quimperiidae
Soboliphymatidae,Nematoda,FALSE,Soboliphymatidae,not ungulate parasites,TRUE,Soboliphymatidae
Diaphanocephalidae,Nematoda,FALSE,Diaphanocephalidae,not ungulate parasites,TRUE,Diaphanocephalidae
Ancylostomidae,Nematoda,FALSE,Ancylostomidae_(merged_with_Chabertiidae),not ungulate parasites,FALSE,Ancylostomidae
Strongyidae,Nematoda,FALSE,Strongyidae,not ungulate parasites,FALSE,Strongyidae
Globocephalidae,Nematoda,FALSE,Globocephalidae,not ungulate parasites,FALSE,Globocephalidae
Strongylacanthidae,Nematoda,FALSE,Strongylacanthidae,not ungulate parasites,FALSE,Strongylacanthidae
Heligosomatidae,Nematoda,FALSE,Heligosomatidae,not ungulate parasites,FALSE,Heligosomatidae
Ollulanidae,Nematoda,FALSE,Ollulanidae,not ungulate parasites,TRUE,Ollulanidae
Myenchildae,Nematoda,FALSE,Myenchildae,not ungulate parasites,FALSE,Myenchildae
Araeolaimidae,Nematoda,FALSE,Araeolaimidae,not ungulate parasites,FALSE,Araeolaimidae
Diplopeltidae,Nematoda,FALSE,Diplopeltidae,not ungulate parasites,TRUE,Diplopeltidae
Camacolaimidae,Nematoda,FALSE,Camacolaimidae,not ungulate parasites,FALSE,Camacolaimidae
Spiriniidae,Nematoda,FALSE,Spiriniidae,not ungulate parasites,FALSE,Spiriniidae
Meyliidae,Nematoda,FALSE,Meyliidae,not ungulate parasites,TRUE,Meyliidae
Greeffiellidae,Nematoda,FALSE,Greeffiellidae,not ungulate parasites,FALSE,Greeffiellidae
Synochidae,Nematoda,FALSE,Synochidae,not ungulate parasites,FALSE,Synochidae
Rhaptothyreidae,Nematoda,FALSE,Rhaptothyreidae,not ungulate parasites,TRUE,Rhaptothyreidae
Soboliphymidae,Nematoda,FALSE,Soboliphymidae,not ungulate parasites,FALSE,Soboliphymidae
Aproctidae,Nematoda,FALSE,Aproctidae,not ungulate parasites,FALSE,Aproctidae
Ungellidae,Nematoda,FALSE,Ungellidae,not ungulate parasites,TRUE,Ungellidae
Scolecophilidae,Nematoda,FALSE,Scolecophilidae,not ungulate parasites,TRUE,Scolecophilidae
