"binomial","genus","length","body.mass","db"
"Nasuella olivacea","Nasuella",387.34,1339.99,"Pantheria"
"Nasutitermes longinasus","Nasutitermes",NA,0.0026,"ehnes"
"Natalus stramineus","Natalus",NA,5.68,"Pantheria"
"Natalus tumidirostris","Natalus",NA,6.3,"Pantheria"
"Natatolana meridionalis","Natatolana",10,NA,"brose"
"Natatolana obtusata","Natatolana",10,NA,"brose"
"Natatolana obusata","Natatolana",10,NA,"brose"
"Natatolana oculata","Natatolana",10,NA,"brose"
"Naticidae ","Naticidae",3.325,0.000794599343,"lw.misc"
"Natrix maura","Natrix",549,44.4,"snakes"
"Natrix natrix","Natrix",NA,95.225,"anAge"
"Natrix natrix","Natrix",NA,100,"brose"
"Natrix natrix","Natrix",360,13,"snakes"
"Natrix tessellata","Natrix",606.5,79.5,"snakes"
"Naultinus manukanus","Naultinus",67.7,6.9,"jzo"
"Nauphoeta cinerea","Nauphoeta",NA,0.51,"ehnes"
"Navicula gregaria","Navicula",0.028,4.23842383857143e-05,"brose"
"Navicula lanceolata","Navicula",0.05,9.8226489175e-05,"brose"
"Navicula menisculus","Navicula",0.025,8.628034544e-05,"brose"
"Navicula tripunctata","Navicula",0.045,0.00161960342243478,"brose"
"Neacomys guianae","Neacomys",NA,15.87,"Pantheria"
"Neacomys spinosus","Neacomys",NA,19,"Pantheria"
"Neacomys tenuipes","Neacomys",NA,19,"Pantheria"
"Neafrapus boehmi","Neafrapus",NA,13.55,"avian"
"Neafrapus cassini","Neafrapus",NA,40,"avian"
"Neamblysomus gunningi","Neamblysomus",123.77,57.44,"Pantheria"
"Neamblysomus julianae","Neamblysomus",100.84,21.99,"Pantheria"
"Neanura muscorum","Neanura",NA,0.00033,"ehnes"
"Neatus noctivagus","Neatus",14,NA,"teneb"
"Neatus picipes","Neatus",13.25,NA,"teneb"
"Neatus subaequalis","Neatus",14,NA,"teneb"
"Nebria aborana","Nebria",12,NA,"carabid"
"Nebria adjarica ","Nebria",9.5,NA,"carabid"
"Nebria aenea","Nebria",14,NA,"carabid"
"Nebria aetolica  ","Nebria",12,NA,"carabid"
"Nebria agilis","Nebria",10.5,NA,"carabid"
"Nebria altaica","Nebria",11,NA,"carabid"
"Nebria alzonai","Nebria",10.5,NA,"carabid"
"Nebria amabilis","Nebria",8.5,NA,"carabid"
"Nebria ambigua","Nebria",14.5,NA,"carabid"
"Nebria andalusia","Nebria",12,NA,"carabid"
"Nebria andarensis ","Nebria",11.5,NA,"carabid"
"Nebria angustula","Nebria",11,NA,"carabid"
"Nebria araschinica ","Nebria",13.5,NA,"carabid"
"Nebria arcensis","Nebria",11,NA,"carabid"
"Nebria archastoides","Nebria",10,NA,"carabid"
"Nebria armata","Nebria",14,NA,"carabid"
"Nebria atlantica ","Nebria",11.5,NA,"carabid"
"Nebria attemsi ","Nebria",13,NA,"carabid"
"Nebria baicalica","Nebria",11,NA,"carabid"
"Nebria barbata","Nebria",11,NA,"carabid"
"Nebria barbimentosa ","Nebria",14,NA,"carabid"
"Nebria bargusinica","Nebria",10.5,NA,"carabid"
"Nebria belloti","Nebria",14.5,NA,"carabid"
"Nebria biseriata","Nebria",11,NA,"carabid"
"Nebria bodpaica","Nebria",12.5,NA,"carabid"
"Nebria boiteli","Nebria",12,NA,"carabid"
"Nebria bosnica","Nebria",9.5,NA,"carabid"
"Nebria bourderyi","Nebria",11,NA,"carabid"
"Nebria bousqueti","Nebria",9,NA,"carabid"
"Nebria bremii","Oreonebria",8.5,NA,"carabid"
"Nebria brevicollis","Nebria",11.5,NA,"carabid"
"Nebria brevicollis","Nebria",NA,0.0571780597014925,"ehnes"
"Nebria businskyorum","Nebria",13,NA,"carabid"
"Nebria cameroni","Nebria",10.5,NA,"carabid"
"Nebria capillosa","Nebria",13,NA,"carabid"
"Nebria carbonaria","Nebria",9.5,NA,"carabid"
"Nebria carpathica","Nebria",10.5,NA,"carabid"
"Nebria catenulata","Nebria",14,NA,"carabid"
"Nebria cathaica","Nebria",10.5,NA,"carabid"
"Nebria caucasica","Nebria",10.5,NA,"carabid"
"Nebria celata","Nebria",11,NA,"carabid"
"Nebria chaslii","Nebria",11,NA,"carabid"
"Nebria chinensis","Nebria",19,NA,"carabid"
"Nebria chitralensis","Nebria",12,NA,"carabid"
"Nebria cinctella","Nebria",11,NA,"carabid"
"Nebria civilis","Nebria",10,NA,"carabid"
"Nebria coiffaiti ","Nebria",12,NA,"carabid"
"Nebria commixta","Nebria",13,NA,"carabid"
"Nebria compacta","Nebria",7.5,NA,"carabid"
"Nebria composita","Nebria",12.5,NA,"carabid"
"Nebria conjuncta","Nebria",7.5,NA,"carabid"
"Nebria cordicollis","Nebria",11,NA,"carabid"
"Nebria coreica","Nebria",10,NA,"carabid"
"Nebria crassiceps","Nebria",17.5,NA,"carabid"
"Nebria crassiforma","Nebria",8.5,NA,"carabid"
"Nebria crenatostriata ","Nebria",14,NA,"carabid"
"Nebria currax ","Nebria",11.5,NA,"carabid"
"Nebria cursitans","Nebria",11,NA,"carabid"
"Nebria dabanensis","Nebria",8.5,NA,"carabid"
"Nebria dahlii ","Nebria",11.5,NA,"carabid"
"Nebria davatchii ","Nebria",12,NA,"carabid"
"Nebria dejeanii  ","Nebria",9.5,NA,"carabid"
"Nebria delectabilis","Nebria",12.5,NA,"carabid"
"Nebria delineata","Nebria",10,NA,"carabid"
"Nebria desgodinsi","Nebria",14.5,NA,"carabid"
"Nebria deuveiana","Nebria",11,NA,"carabid"
"Nebria dilatata","Nebria",13.5,NA,"carabid"
"Nebria djakonovi","Nebria",11.5,NA,"carabid"
"Nebria dolicapax","Nebria",10.5,NA,"carabid"
"Nebria elegans","Nebria",14,NA,"carabid"
"Nebria elliptipennis","Nebria",14.5,NA,"carabid"
"Nebria esfandiari","Nebria",15.5,NA,"carabid"
"Nebria eugeniae","Nebria",9.5,NA,"carabid"
"Nebria exul","Nebria",13,NA,"carabid"
"Nebria fairmairei","Nebria",10,NA,"carabid"
"Nebria faldermanni","Nebria",15,NA,"carabid"
"Nebria fallaciosa","Nebria",10.5,NA,"carabid"
"Nebria farkaci","Nebria",10.5,NA,"carabid"
"Nebria fasciatopunctata ","Nebria",11,NA,"carabid"
"Nebria femoralis","Nebria",10,NA,"carabid"
"Nebria ferganensis","Nebria",14,NA,"carabid"
"Nebria finissima","Nebria",11,NA,"carabid"
"Nebria fischeri","Nebria",17.5,NA,"carabid"
"Nebria flexuosa","Nebria",9,NA,"carabid"
"Nebria fongondi","Nebria",11.5,NA,"carabid"
"Nebria fontinalis ","Nebria",9.5,NA,"carabid"
"Nebria formosana","Nebria",9.5,NA,"carabid"
"Nebria fulgida","Nebria",11,NA,"carabid"
"Nebria fulviventris","Nebria",10,NA,"carabid"
"Nebria funerea","Nebria",8.5,NA,"carabid"
"Nebria fuscipes ","Nebria",11,NA,"carabid"
"Nebria ganeshi","Nebria",10,NA,"carabid"
"Nebria ganglbaueri ","Nebria",10,NA,"carabid"
"Nebria gemina","Nebria",14,NA,"carabid"
"Nebria genei","Nebria",10,NA,"carabid"
"Nebria germarii ","Nebria",8.5,NA,"carabid"
"Nebria gibbulosa","Nebria",13,NA,"carabid"
"Nebria glacicola","Nebria",11,NA,"carabid"
"Nebria globulosa","Nebria",8.5,NA,"carabid"
"Nebria gotschii","Nebria",13,NA,"carabid"
"Nebria gratiosa","Nebria",9,NA,"carabid"
"Nebria grombczewskii","Nebria",13,NA,"carabid"
"Nebria grumi","Nebria",13.5,NA,"carabid"
"Nebria haberhaueri","Nebria",13,NA,"carabid"
"Nebria heegeri  ","Nebria",11.5,NA,"carabid"
"Nebria hellwigii ","Nebria",12.5,NA,"carabid"
"Nebria hemprichi","Nebria",13.5,NA,"carabid"
"Nebria heydenii ","Nebria",15,NA,"carabid"
"Nebria hiekei","Nebria",8.5,NA,"carabid"
"Nebria hikosana","Nebria",10.5,NA,"carabid"
"Nebria himalayica","Nebria",14.5,NA,"carabid"
"Nebria hollandei","Nebria",12.5,NA,"carabid"
"Nebria holtzi ","Nebria",11.5,NA,"carabid"
"Nebria hybrida ","Nebria",11,NA,"carabid"
"Nebria irregularis ","Nebria",12,NA,"carabid"
"Nebria irrorata","Nebria",9.5,NA,"carabid"
"Nebria janschneideri","Nebria",10,NA,"carabid"
"Nebria jarrigei","Nebria",11.5,NA,"carabid"
"Nebria jockischii ","Nebria",14.5,NA,"carabid"
"Nebria jugosa","Nebria",11,NA,"carabid"
"Nebria kabakovi","Nebria",11,NA,"carabid"
"Nebria kaszabi","Nebria",8.5,NA,"carabid"
"Nebria kerzhneri","Nebria",7.5,NA,"carabid"
"Nebria kirgisica","Nebria",13,NA,"carabid"
"Nebria klapperichi","Nebria",12.5,NA,"carabid"
"Nebria kocheri","Nebria",12.5,NA,"carabid"
"Nebria komarovi","Nebria",13.5,NA,"carabid"
"Nebria korgei ","Nebria",15,NA,"carabid"
"Nebria kratteri ","Nebria",14.5,NA,"carabid"
"Nebria kryzhanovskii","Nebria",8,NA,"carabid"
"Nebria kumgangi","Nebria",12.5,NA,"carabid"
"Nebria kurentzovi","Nebria",12,NA,"carabid"
"Nebria kurosawai","Nebria",10.5,NA,"carabid"
"Nebria laevistriata","Nebria",15,NA,"carabid"
"Nebria lafresnayei ","Nebria",12,NA,"carabid"
"Nebria lareyniei","Nebria",10.5,NA,"carabid"
"Nebria lariollei","Nebria",8,NA,"carabid"
"Nebria laticollis ","Nebria",8.5,NA,"carabid"
"Nebria latior","Nebria",10.5,NA,"carabid"
"Nebria leechi","Nebria",15,NA,"carabid"
"Nebria lenis","Nebria",11.5,NA,"carabid"
"Nebria lewisi","Nebria",14,NA,"carabid"
"Nebria limbigera","Nebria",16,NA,"carabid"
"Nebria livida","Nebria",15,NA,"carabid"
"Nebria longilingua","Nebria",10,NA,"carabid"
"Nebria lucidissima","Nebria",10.5,NA,"carabid"
"Nebria lucifer","Nebria",11,NA,"carabid"
"Nebria macrocephala","Nebria",11,NA,"carabid"
"Nebria macrogona","Nebria",23,NA,"carabid"
"Nebria mandibularis ","Nebria",17.5,NA,"carabid"
"Nebria marginata","Nebria",10.5,NA,"carabid"
"Nebria masrina","Nebria",12.5,NA,"carabid"
"Nebria medvedevi","Nebria",7.5,NA,"carabid"
"Nebria mellyi","Nebria",10,NA,"carabid"
"Nebria memorabilis","Nebria",7.5,NA,"carabid"
"Nebria merkliana","Nebria",14.5,NA,"carabid"
"Nebria meurguesae","Nebria",12.5,NA,"carabid"
"Nebria micans","Nebria",10,NA,"carabid"
"Nebria microphthalma","Nebria",9,NA,"carabid"
"Nebria mirabilis ","Nebria",18,NA,"carabid"
"Nebria mniszechii ","Nebria",17,NA,"carabid"
"Nebria morula","Nebria",8.5,NA,"carabid"
"Nebria motschulskyi ","Nebria",14,NA,"carabid"
"Nebria mucronata","Nebria",12.5,NA,"carabid"
"Nebria nana","Nebria",9.5,NA,"carabid"
"Nebria nanshanica","Nebria",11,NA,"carabid"
"Nebria nataliae","Nebria",12.5,NA,"carabid"
"Nebria negrei","Nebria",9.5,NA,"carabid"
"Nebria nigerrima ","Nebria",12,NA,"carabid"
"Nebria nivalis ","Nebria",10.5,NA,"carabid"
"Nebria oberthueri","Nebria",12.5,NA,"carabid"
"Nebria olivieri  ","Nebria",11.5,NA,"carabid"
"Nebria oramarensis ","Nebria",11,NA,"carabid"
"Nebria orestias","Nebria",10,NA,"carabid"
"Nebria orsinii","Nebria",9,NA,"carabid"
"Nebria panshiri ","Nebria",14,NA,"carabid"
"Nebria parvula","Nebria",8,NA,"carabid"
"Nebria patruelis ","Nebria",12.5,NA,"carabid"
"Nebria pawlowskii","Nebria",9,NA,"carabid"
"Nebria pazi","Nebria",12.5,NA,"carabid"
"Nebria peristerica ","Nebria",12,NA,"carabid"
"Nebria perlonga","Nebria",13,NA,"carabid"
"Nebria peyerimhoffi","Nebria",11.5,NA,"carabid"
"Nebria pharina","Nebria",10,NA,"carabid"
"Nebria picicornis ","Nebria",15.5,NA,"carabid"
"Nebria picta","Nebria",13,NA,"carabid"
"Nebria pictiventris","Nebria",9,NA,"carabid"
"Nebria pindarica","Nebria",14,NA,"carabid"
"Nebria plicata","Nebria",11.5,NA,"carabid"
"Nebria polita","Nebria",11,NA,"carabid"
"Nebria pontica ","Nebria",11,NA,"carabid"
"Nebria poplii","Nebria",13,NA,"carabid"
"Nebria posthuma ","Nebria",13.5,NA,"carabid"
"Nebria praelonga","Nebria",14,NA,"carabid"
"Nebria przewalskii","Nebria",12,NA,"carabid"
"Nebria psammodes ","Nebria",13.5,NA,"carabid"
"Nebria psammophila ","Nebria",13.5,NA,"carabid"
"Nebria pseudopolita","Nebria",11,NA,"carabid"
"Nebria puella","Nebria",11,NA,"carabid"
"Nebria pulcherrima","Nebria",13,NA,"carabid"
"Nebria pulchrior","Nebria",11,NA,"carabid"
"Nebria punctatostriata ","Nebria",14.5,NA,"carabid"
"Nebria quezeli","Nebria",12,NA,"carabid"
"Nebria radjabii","Nebria",15.5,NA,"carabid"
"Nebria rasa","Nebria",11,NA,"carabid"
"Nebria reflexa","Nebria",12,NA,"carabid"
"Nebria reichii  ","Nebria",11.5,NA,"carabid"
"Nebria reitteri","Nebria",12,NA,"carabid"
"Nebria retrospinosa","Nebria",10.5,NA,"carabid"
"Nebria reymondi","Nebria",13,NA,"carabid"
"Nebria rhilensis ","Nebria",12,NA,"carabid"
"Nebria roborowskii","Nebria",8.5,NA,"carabid"
"Nebria rougemonti","Nebria",10,NA,"carabid"
"Nebria rubicunda","Nebria",12,NA,"carabid"
"Nebria rubripes ","Nebria",12,NA,"carabid"
"Nebria rubrofemorata","Nebria",10,NA,"carabid"
"Nebria rufescens ","Nebria",11,NA,"carabid"
"Nebria sadona","Nebria",14,NA,"carabid"
"Nebria saeviens","Nebria",14,NA,"carabid"
"Nebria sakagutii","Nebria",11.5,NA,"carabid"
"Nebria salina","Nebria",11,NA,"carabid"
"Nebria saurica","Nebria",8.5,NA,"carabid"
"Nebria scaphelytra","Nebria",13.5,NA,"carabid"
"Nebria schawalleri","Nebria",12,NA,"carabid"
"Nebria schrenckii ","Nebria",8.5,NA,"carabid"
"Nebria sciakyi","Nebria",12.5,NA,"carabid"
"Nebria semenoviana","Nebria",9,NA,"carabid"
"Nebria setosa","Nebria",13,NA,"carabid"
"Nebria setulata","Nebria",9,NA,"carabid"
"Nebria shibanaii","Nebria",15,NA,"carabid"
"Nebria sifanica","Nebria",12,NA,"carabid"
"Nebria simplex","Nebria",10.5,NA,"carabid"
"Nebria simulatoria","Nebria",12.5,NA,"carabid"
"Nebria sinuosa","Nebria",12.5,NA,"carabid"
"Nebria snowi","Nebria",9.5,NA,"carabid"
"Nebria sobrina ","Nebria",12.5,NA,"carabid"
"Nebria sochondensis","Nebria",10,NA,"carabid"
"Nebria speiseri  ","Nebria",10,NA,"carabid"
"Nebria spinosa","Nebria",10.5,NA,"carabid"
"Nebria storkani ","Nebria",12.5,NA,"carabid"
"Nebria stricta","Nebria",11,NA,"carabid"
"Nebria suavis","Nebria",11,NA,"carabid"
"Nebria subaerea ","Nebria",8.5,NA,"carabid"
"Nebria subdilatata","Nebria",10,NA,"carabid"
"Nebria sublivida","Nebria",12.5,NA,"carabid"
"Nebria superna","Nebria",10.5,NA,"carabid"
"Nebria suvorovi ","Nebria",10.5,NA,"carabid"
"Nebria taketoi","Nebria",8.5,NA,"carabid"
"Nebria talassica","Nebria",13.5,NA,"carabid"
"Nebria tangjelaenswis","Nebria",10,NA,"carabid"
"Nebria tatrica","Nebria",9.5,NA,"carabid"
"Nebria taygetana ","Nebria",11,NA,"carabid"
"Nebria tenella","Nebria",11,NA,"carabid"
"Nebria testacea","Nebria",12,NA,"carabid"
"Nebria testadilatata ","Nebria",12,NA,"carabid"
"Nebria tetungi","Nebria",18.5,NA,"carabid"
"Nebria thonitida ","Nebria",12,NA,"carabid"
"Nebria tibialis ","Nebria",12,NA,"carabid"
"Nebria torosa","Nebria",10.5,NA,"carabid"
"Nebria transsylvanica ","Nebria",11,NA,"carabid"
"Nebria tristicula ","Nebria",11,NA,"carabid"
"Nebria truncaticollis","Nebria",12,NA,"carabid"
"Nebria turcica","Nebria",14,NA,"carabid"
"Nebria tyschkanica","Nebria",10.5,NA,"carabid"
"Nebria uenoiana","Nebria",13,NA,"carabid"
"Nebria ultima","Nebria",20.5,NA,"carabid"
"Nebria uluderensis ","Nebria",12,NA,"carabid"
"Nebria unguinosa","Nebria",7.5,NA,"carabid"
"Nebria uralensis ","Nebria",11.5,NA,"carabid"
"Nebria valida","Nebria",12,NA,"carabid"
"Nebria vanvolxemi","Nebria",11,NA,"carabid"
"Nebria velebiticola ","Nebria",8,NA,"carabid"
"Nebria verticalis","Nebria",15,NA,"carabid"
"Nebria vicina","Nebria",13,NA,"carabid"
"Nebria vuillefroyi ","Nebria",12,NA,"carabid"
"Nebria walterheinzi ","Nebria",11,NA,"carabid"
"Nebria wiedemanni ","Nebria",14,NA,"carabid"
"Nebria wraseiana","Nebria",11.5,NA,"carabid"
"Nebria xanthacra","Nebria",13,NA,"carabid"
"Nebria yunnana","Nebria",11,NA,"carabid"
"Nebria zayula","Nebria",11,NA,"carabid"
"Necremnus metalarus","Necremnus",1.65,NA,"brose"
"Necromys amoenus","Necromys",NA,27.09,"Pantheria"
"Necromys lactens","Necromys",NA,32.9,"Pantheria"
"Necromys lasiurus","Necromys",144.99,39.93,"Pantheria"
"Necromys obscurus","Necromys",NA,40.69,"Pantheria"
"Necromys punctulatus","Necromys",NA,37.3,"Pantheria"
"Necromys temchuki","Necromys",NA,47.2,"Pantheria"
"Necromys urichi","Necromys",NA,44.84,"Pantheria"
"Necrosyrtes monachus","Necrosyrtes",NA,2041.737945,"sibly"
"Nectarinia adelberti","Nectarinia",NA,9.75,"avian"
"Nectarinia afra","Nectarinia",NA,10.95,"avian"
"Nectarinia afra","Nectarinia",NA,11.09174815,"sibly"
"Nectarinia alinae","Nectarinia",NA,12.4,"avian"
"Nectarinia amethystina","Nectarinia",NA,10.4,"avian"
"Nectarinia amethystina","Nectarinia",NA,13.67728826,"sibly"
"Nectarinia asiatica","Nectarinia",NA,8.090958992,"sibly"
"Nectarinia balfouri","Nectarinia",NA,11.5,"avian"
"Nectarinia bannermani","Nectarinia",NA,14.1,"avian"
"Nectarinia bifasciata","Nectarinia",NA,7.2,"avian"
"Nectarinia bouvieri","Nectarinia",NA,8.5,"avian"
"Nectarinia chalybea","Nectarinia",NA,7.95,"avian"
"Nectarinia chalybea","Nectarinia",NA,7.726805851,"sibly"
"Nectarinia chloropygia","Nectarinia",NA,7.1,"avian"
"Nectarinia coccinigaster","Nectarinia",NA,14.3,"avian"
"Nectarinia cuprea","Nectarinia",NA,8.55,"avian"
"Nectarinia cyanolaema","Nectarinia",NA,16.95,"avian"
"Nectarinia erythrocerca","Nectarinia",NA,8.8,"avian"
"Nectarinia famosa","Nectarinia",NA,14.7,"avian"
"Nectarinia famosa","Nectarinia",NA,14.35489433,"sibly"
"Nectarinia fuliginosa","Nectarinia",NA,12.2,"avian"
"Nectarinia fusca","Nectarinia",NA,9,"avian"
"Nectarinia habessinica","Nectarinia",NA,9.55,"avian"
"Nectarinia hartlaubii","Nectarinia",NA,10.5,"avian"
"Nectarinia hunteri","Nectarinia",NA,10.95,"avian"
"Nectarinia johannae","Nectarinia",NA,13.05,"avian"
"Nectarinia johnstoni","Nectarinia",NA,15.7,"avian"
"Nectarinia jugularis","Nectarinia",NA,8.5,"avian"
"Nectarinia jugularis","Nectarinia",NA,8.994975815,"sibly"
"Nectarinia kilimensis","Nectarinia",NA,15.65,"avian"
"Nectarinia loveridgei","Nectarinia",NA,10.05,"avian"
"Nectarinia ludovicensis","Nectarinia",NA,8.7,"avian"
"Nectarinia manoensis","Nectarinia",NA,9.1,"avian"
"Nectarinia mariquensis","Nectarinia",NA,11.7,"avian"
"Nectarinia mariquensis","Nectarinia",NA,11.48153621,"sibly"
"Nectarinia mediocris","Nectarinia",NA,8.15,"avian"
"Nectarinia minulla","Nectarinia",NA,5.8,"avian"
"Nectarinia moreaui","Nectarinia",NA,8.25,"avian"
"Nectarinia nectarinioides","Nectarinia",NA,4.5,"avian"
"Nectarinia neergaardi","Nectarinia",NA,6.15,"avian"
"Nectarinia newtonii","Nectarinia",NA,6.5,"avian"
"Nectarinia olivacea","Nectarinia",NA,11.2,"avian"
"Nectarinia oritis","Nectarinia",NA,11.2,"avian"
"Nectarinia osea","Nectarinia",NA,7.33333333333333,"avian"
"Nectarinia pulchella","Nectarinia",NA,6.9,"avian"
"Nectarinia purpureiventris","Nectarinia",NA,11.45,"avian"
"Nectarinia regia","Nectarinia",NA,6.6,"avian"
"Nectarinia reichenbachii","Nectarinia",NA,9.8,"avian"
"Nectarinia reichenowi","Nectarinia",NA,14.75,"avian"
"Nectarinia rockefelleri","Nectarinia",NA,5.3,"avian"
"Nectarinia rubescens","Nectarinia",NA,10.85,"avian"
"Nectarinia rufipennis","Nectarinia",NA,9.35,"avian"
"Nectarinia seimundi","Nectarinia",NA,6.65,"avian"
"Nectarinia senegalensis","Nectarinia",NA,9.35,"avian"
"Nectarinia senegalensis","Nectarinia",NA,12.24616199,"sibly"
"Nectarinia stuhlmanni","Nectarinia",NA,10.45,"avian"
"Nectarinia superba","Nectarinia",NA,16.7,"avian"
"Nectarinia tacazze","Nectarinia",NA,14.9,"avian"
"Nectarinia talatala","Nectarinia",NA,7.65,"avian"
"Nectarinia thomensis","Nectarinia",NA,22.35,"avian"
"Nectarinia venusta","Nectarinia",NA,5.6,"avian"
"Nectarinia veroxii","Nectarinia",NA,10.05,"avian"
"Nectarinia verticalis","Nectarinia",NA,11.6,"avian"
"Nectarinia violacea","Nectarinia",NA,9.55,"avian"
"Nectarinia violacea","Nectarinia",NA,9.375620069,"sibly"
"Nectogale elegans","Nectogale",109,38.82,"Pantheria"
"Nectomys rattus","Nectomys",NA,248.8,"Pantheria"
"Nectomys squamipes","Nectomys",182.42,184.98,"Pantheria"
"Nectopsyche spp.","Nectopsyche",NA,0.000490711373,"lw.misc"
"Negaprion brevirostris","Negaprion",NA,101035,"anAge"
"Negaprion brevirostris","Negaprion",2400,176093.527537445,"fishbase"
"Nelsonia neotomodon","Nelsonia",NA,80,"Pantheria"
"Nelusetta ayraud","Nelusetta",NA,1925,"anAge"
"Nematalosa erebi","Nematalosa",270.19940475,275.1438823,"brose"
"Nematocarcinus lanceopes","Nematocarcinus",34.3,NA,"brose"
"Nematocera","",13.6,0.008153720952,"lw.misc"
"Nematoda ","Nematoda",27.5,0.001094857407,"lw.misc"
"Nematoda sp","Nematoda",0.601,2.61e-07,"brose"
"Nematoflustra flagellata","Nematoflustra",200,NA,"brose"
"Nematomorpha ","Nematomorpha",27.775,0.000426436961,"lw.misc"
"Nemipterus japonicus","Nemipterus",NA,327.8,"anAge"
"Nemobius silvestris","Nemobius",NA,0.0614076923076923,"ehnes"
"Nemotelus pantherinus","Nemotelus",NA,6e-04,"brose"
"Nemoura cinerea","Nemoura",5.8,NA,"brose"
"Nemurella pictetii","Nemurella",NA,0.000101879,"brose"
"Neoascia sp","Neoascia",NA,8e-04,"brose"
"Neobuccinum eatoni","Neobuccinum",60,NA,"brose"
"Neochen jubata","Neochen",NA,1250,"avian"
"Neochmia modesta","Neochmia",NA,13.3,"avian"
"Neochmia phaeton","Neochmia",NA,8,"avian"
"Neochmia ruficauda","Neochmia",NA,10,"avian"
"Neochmia temporalis","Neochmia",NA,9,"avian"
"Neocichla gutturalis","Neocichla",NA,66,"avian"
"Neoconocephalus robustus","Neoconocephalus",NA,0.87,"ehnes"
"Neocossus sp.","Neocossus",NA,1.77163,"ehnes"
"Neocossyphus finschii","Neocossyphus",NA,37,"avian"
"Neocossyphus fraseri","Neocossyphus",NA,35.65,"avian"
"Neocossyphus poensis","Neocossyphus",NA,51.8,"avian"
"Neocossyphus rufus","Neocossyphus",NA,66.3,"avian"
"Neocyttus rhomboidalis","Neocyttus",NA,1100,"anAge"
"Neofelis nebulosa","Neofelis",NA,19500,"anAge"
"Neofelis nebulosa","Neofelis",836.74,14945.05,"Pantheria"
"Neofiber alleni","Neofiber",199.49,265.38,"Pantheria"
"Neogloboquadrina pachyderma","Neogloboquadrina",0.125,NA,"brose"
"Neohylomys hainanensis","Neohylomys",134.99,52.21,"Pantheria"
"Neoisocerus balearicus","Neoisocerus",10.5,NA,"teneb"
"Neoisocerus ferrugineus","Neoisocerus",9.5,NA,"teneb"
"Neolaphyra leucosticta","Neolaphyra",17,NA,"carabid"
"Neolaphyra peletieri","Neolaphyra",14,NA,"carabid"
"Neolaphyra ritchiei","Neolaphyra",16.5,NA,"carabid"
"Neolaphyra truquii","Neolaphyra",10,NA,"carabid"
"Neolestes torquatus","Neolestes",NA,22.5,"avian"
"Neomida haemorrhoidalis","Neomida",5.75,NA,"teneb"
"Neomys anomalus","Neomys",NA,14.05,"anAge"
"Neomys anomalus","Neomys",75.99,13.19,"Pantheria"
"Neomys fodiens","Neomys",NA,15.5,"anAge"
"Neomys fodiens","Neomys",81.94,15.26,"Pantheria"
"Neomys teres","Neomys",86.94,20.71,"Pantheria"
"Neomysis japonica","Neomysis",8.5,0.001254903386,"lw.misc"
"Neon valentulus","Neon",NA,0.000148529411764706,"brose"
"Neonycteris pusilla","Neonycteris",NA,6.11,"Pantheria"
"Neoperla clymene","Neoperla",8.9,0.003046265873,"lw.misc"
"Neoperla spp.","Neoperla",NA,0.001490758351,"lw.misc"
"Neophascogale lorentzi","Neophascogale",195.77,212,"Pantheria"
"Neophema chrysogaster","Neophema",NA,45.9,"avian"
"Neophema chrysostoma","Neophema",NA,46.1,"anAge"
"Neophema chrysostoma","Neophema",NA,46.75,"avian"
"Neophema elegans","Neophema",NA,45.2,"avian"
"Neophema petrophila","Neophema",NA,53.25,"avian"
"Neophema petrophila","Neophema",NA,53.21082593,"sibly"
"Neophema pulchella","Neophema",NA,41.4,"anAge"
"Neophema pulchella","Neophema",NA,41.4,"avian"
"Neophema splendida","Neophema",NA,38.6,"anAge"
"Neophema splendida","Neophema",NA,39.1,"avian"
"Neophilaenus lineatus","Neophilaenus",NA,0.00191,"ehnes"
"Neophilaenus lineatus","Neophilaenus",NA,0.00574,"irlich"
"Neophoca cinerea","Neophoca",NA,190000,"anAge"
"Neophoca cinerea","Neophoca",1798.13,189274.99,"Pantheria"
"Neophocaena phocaenoides","Neophocaena",NA,32500,"anAge"
"Neophocaena phocaenoides","Neophocaena",NA,32500,"Pantheria"
"Neophron percnopterus","Neophron",NA,2082,"anAge"
"Neophron percnopterus","Neophron",NA,1977,"avian"
"Neophron percnopterus","Neophron",NA,2079.696687,"sibly"
"Neoplatycephalus richardsoni","Neoplatycephalus",NA,1650,"anAge"
"Neopsephotus bourkii","Neopsephotus",NA,45,"anAge"
"Neopsephotus bourkii","Neopsephotus",NA,44.45,"avian"
"Neopteryx frosti","Neopteryx",NA,176.65,"Pantheria"
"Neoromicia brunneus","Neoromicia",NA,6.91,"Pantheria"
"Neoromicia capensis","Neoromicia",NA,5.96,"Pantheria"
"Neoromicia flavescens","Neoromicia",NA,10.5,"Pantheria"
"Neoromicia guineensis","Neoromicia",NA,3.5,"Pantheria"
"Neoromicia helios","Neoromicia",NA,3.56,"Pantheria"
"Neoromicia melckorum","Neoromicia",NA,7.2,"Pantheria"
"Neoromicia nanus","Neoromicia",NA,3.88,"Pantheria"
"Neoromicia rendalli","Neoromicia",NA,6.42,"Pantheria"
"Neoromicia somalicus","Neoromicia",84.99,3.53,"Pantheria"
"Neoromicia tenuipinnis","Neoromicia",37,5.35,"Pantheria"
"Neoromicia zuluensis","Neoromicia",NA,4.14,"Pantheria"
"Neoscona adianta","Neoscona",NA,0.00702744382022472,"brose"
