"i.vec","sp.query","q.rank","ncbi.ids","class","cohort","family","genus","infraclass","infraorder","kingdom","order","parvorder","phylum","species","species group","subclass","subfamily","subgenus","subkingdom","suborder","subphylum","subtribe","superclass","superfamily","superkingdom","superorder","tribe"
2203,"Mystus bleekeri","species","210630","Actinopteri",NA,"Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus bleekeri",NA,"Neopterygii",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA
2204,"Mystus cavasius","species","205132","Actinopteri",NA,"Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus cavasius",NA,"Neopterygii",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA
2205,"Mystus tengara","species","402707","Actinopteri",NA,"Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus tengara",NA,"Neopterygii",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA
2206,"Mystus vittatus","species","337539","Actinopteri",NA,"Bagridae","Mystus","Teleostei",NA,"Metazoa","Siluriformes",NA,"Chordata","Mystus vittatus",NA,"Neopterygii",NA,NA,NA,"Siluroidei","Craniata",NA,"Actinopterygii",NA,"Eukaryota","Characiphysae",NA
2208,"Nactus multicarinatus","species","476513","Craniata",NA,"Gekkonidae","Nactus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Nactus multicarinatus",NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
2209,"Nactus pelagicus","species","221565","Craniata",NA,"Gekkonidae","Nactus",NA,"Gekkota","Metazoa","Squamata",NA,"Chordata","Nactus pelagicus",NA,NA,"Gekkoninae",NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Lepidosauria",NA
2210,"Nais communis","species","188228","Clitellata",NA,"Tubificidae","Nais",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida","Nais communis",NA,"Oligochaeta","Naidinae",NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA
2211,"Nais variabilis","species","212334","Clitellata",NA,"Tubificidae","Nais",NA,NA,"Metazoa","Haplotaxida",NA,"Annelida","Nais variabilis",NA,"Oligochaeta","Naidinae",NA,NA,"Tubificina",NA,NA,NA,NA,"Eukaryota",NA,NA
2212,"Naja haje","species","8639","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja haje",NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2213,"Naja naja","species","35670","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja naja",NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2214,"Naja nigricollis","species","8654","Craniata",NA,"Elapidae","Naja",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Naja nigricollis",NA,NA,"Elapinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2215,"Napaeozapus insignis","species","101671","Mammalia",NA,"Dipodidae","Napaeozapus",NA,NA,"Metazoa","Rodentia",NA,"Chordata","Napaeozapus insignis",NA,NA,"Zapodinae",NA,NA,"Myomorpha","Craniata",NA,NA,"Dipodoidea","Eukaryota","Euarchontoglires",NA
2216,"Narceus americanus","species","58771","Diplopoda",NA,"Spirobolidae","Narceus",NA,NA,"Metazoa","Spirobolida",NA,"Arthropoda","Narceus americanus",NA,"Helminthomorpha",NA,NA,NA,NA,"Myriapoda",NA,NA,NA,"Eukaryota",NA,NA
2217,"Nasutitermes acajutlae","species","46571","Insecta","Polyneoptera","Termitidae","Nasutitermes","Neoptera",NA,"Metazoa","Blattodea",NA,"Arthropoda","Nasutitermes acajutlae",NA,"Pterygota","Nasutitermitinae",NA,NA,NA,NA,NA,"Hexapoda","Blattoidea","Eukaryota",NA,NA
2218,"Natrix maura","species","8585","Craniata",NA,"Colubridae","Natrix",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Natrix maura",NA,NA,"Natricinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2219,"Natrix natrix","species","100823","Craniata",NA,"Colubridae","Natrix",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Natrix natrix",NA,NA,"Natricinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2220,"Natrix pryeri","genus","8583","Craniata",NA,"Colubridae","Natrix",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Natricinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2221,"Natrix sp.","genus","8583","Craniata",NA,"Colubridae","Natrix",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata",NA,NA,NA,"Natricinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2222,"Natrix tessellata","species","8584","Craniata",NA,"Colubridae","Natrix",NA,"Serpentes","Metazoa","Squamata",NA,"Chordata","Natrix tessellata",NA,NA,"Natricinae",NA,NA,NA,"Craniata",NA,NA,"Colubroidea","Eukaryota","Lepidosauria",NA
2223,"Necromys lasiurus","genus","399316","Mammalia",NA,"Cricetidae","Necromys",NA,NA,"Metazoa","Rodentia",NA,"Chordata",NA,NA,NA,"Sigmodontinae",NA,NA,"Myomorpha","Craniata",NA,NA,NA,"Eukaryota","Euarchontoglires",NA
2225,"Nectophrynoides viviparus","species","655831","Amphibia",NA,"Bufonidae","Nectophrynoides",NA,NA,"Metazoa","Anura",NA,"Chordata","Nectophrynoides viviparus",NA,NA,NA,NA,NA,"Neobatrachia","Craniata",NA,NA,"Hyloidea","Eukaryota","Batrachia",NA
2226,"Necturus beyeri","species","324346","Amphibia",NA,"Proteidae","Necturus",NA,NA,"Metazoa","Caudata",NA,"Chordata","Necturus beyeri",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,"Salamandroidea","Eukaryota","Batrachia",NA
2227,"Necturus maculosus","species","42757","Amphibia",NA,"Proteidae","Necturus",NA,NA,"Metazoa","Caudata",NA,"Chordata","Necturus maculosus",NA,NA,NA,NA,NA,NA,"Craniata",NA,NA,"Salamandroidea","Eukaryota","Batrachia",NA
2228,"Negaprion brevirostris","species","7821","Chondrichthyes",NA,"Carcharhinidae","Negaprion","Selachii",NA,"Metazoa","Carcharhiniformes",NA,"Chordata","Negaprion brevirostris",NA,"Elasmobranchii",NA,NA,NA,NA,"Craniata",NA,NA,NA,"Eukaryota","Galeoidea",NA
